x,y,tipo
1,1,Pasture
2,1,Pasture
3,1,Pasture
4,1,Pasture
5,1,Pasture
6,1,Pasture
7,1,Pasture
8,1,Pasture
9,1,Pasture
10,1,Pasture
11,1,Pasture
12,1,Pasture
13,1,Pasture
14,1,Pasture
15,1,Pasture
16,1,Pasture
17,1,Pasture
18,1,Pasture
19,1,Pasture
20,1,Pasture
21,1,Pasture
22,1,Pasture
23,1,Pasture
24,1,Pasture
25,1,Pasture
26,1,Pasture
27,1,Pasture
28,1,Pasture
29,1,Pasture
30,1,Pasture
31,1,Pasture
32,1,Pasture
33,1,Pasture
34,1,Pasture
35,1,Pasture
36,1,Pasture
37,1,Pasture
38,1,Pasture
39,1,Pasture
40,1,Pasture
41,1,Pasture
42,1,Pasture
43,1,Pasture
44,1,Pasture
45,1,Pasture
46,1,Pasture
47,1,Pasture
48,1,Pasture
49,1,Pasture
50,1,PA
51,1,PA
52,1,PA
53,1,PA
54,1,PA
55,1,PA
56,1,PA
57,1,PA
58,1,PA
59,1,PA
60,1,PA
61,1,PA
62,1,PA
63,1,PA
64,1,PA
65,1,PA
66,1,PA
67,1,PA
68,1,PA
69,1,PA
70,1,PA
71,1,Forest
72,1,Forest
73,1,Forest
74,1,Forest
75,1,Forest
76,1,Forest
77,1,Forest
78,1,Forest
79,1,Forest
80,1,Forest
81,1,Forest
82,1,Forest
83,1,Forest
84,1,Forest
85,1,Forest
86,1,Forest
87,1,Forest
88,1,Forest
89,1,Forest
90,1,Forest
91,1,Forest
92,1,Forest
93,1,Forest
94,1,Forest
95,1,Forest
96,1,Forest
97,1,Forest
98,1,Forest
99,1,Forest
100,1,Pasture
1,2,Pasture
2,2,Pasture
3,2,Pasture
4,2,Pasture
5,2,Pasture
6,2,Pasture
7,2,Pasture
8,2,Pasture
9,2,Pasture
10,2,Pasture
11,2,Pasture
12,2,Pasture
13,2,Pasture
14,2,Pasture
15,2,Pasture
16,2,Pasture
17,2,Pasture
18,2,Pasture
19,2,Pasture
20,2,Pasture
21,2,Pasture
22,2,Pasture
23,2,Pasture
24,2,Pasture
25,2,Pasture
26,2,Pasture
27,2,Pasture
28,2,Pasture
29,2,Pasture
30,2,Pasture
31,2,Pasture
32,2,Pasture
33,2,Pasture
34,2,Pasture
35,2,Pasture
36,2,Pasture
37,2,Pasture
38,2,Pasture
39,2,Pasture
40,2,Pasture
41,2,Pasture
42,2,Pasture
43,2,Pasture
44,2,Pasture
45,2,Pasture
46,2,Pasture
47,2,Pasture
48,2,Pasture
49,2,Pasture
50,2,PA
51,2,PA
52,2,PA
53,2,PA
54,2,PA
55,2,PA
56,2,PA
57,2,PA
58,2,PA
59,2,PA
60,2,PA
61,2,PA
62,2,PA
63,2,PA
64,2,PA
65,2,PA
66,2,PA
67,2,PA
68,2,PA
69,2,PA
70,2,PA
71,2,Forest
72,2,Forest
73,2,Forest
74,2,Forest
75,2,Forest
76,2,Forest
77,2,Forest
78,2,Forest
79,2,Forest
80,2,Forest
81,2,Forest
82,2,Forest
83,2,Forest
84,2,Forest
85,2,Forest
86,2,Forest
87,2,Forest
88,2,Forest
89,2,Forest
90,2,Forest
91,2,Forest
92,2,Forest
93,2,Forest
94,2,Forest
95,2,Forest
96,2,Forest
97,2,Forest
98,2,Forest
99,2,Forest
100,2,Pasture
1,3,Pasture
2,3,Pasture
3,3,Pasture
4,3,Pasture
5,3,Pasture
6,3,Pasture
7,3,Pasture
8,3,Pasture
9,3,Pasture
10,3,Pasture
11,3,Pasture
12,3,Pasture
13,3,Pasture
14,3,Pasture
15,3,Pasture
16,3,Pasture
17,3,Pasture
18,3,Pasture
19,3,Pasture
20,3,Pasture
21,3,Pasture
22,3,Pasture
23,3,Pasture
24,3,Pasture
25,3,Pasture
26,3,Pasture
27,3,Pasture
28,3,Pasture
29,3,Pasture
30,3,Pasture
31,3,Pasture
32,3,Pasture
33,3,Pasture
34,3,Pasture
35,3,Pasture
36,3,Pasture
37,3,Pasture
38,3,Pasture
39,3,Pasture
40,3,Pasture
41,3,Pasture
42,3,Pasture
43,3,Pasture
44,3,Pasture
45,3,Pasture
46,3,Pasture
47,3,Pasture
48,3,Pasture
49,3,Pasture
50,3,PA
51,3,PA
52,3,PA
53,3,PA
54,3,PA
55,3,PA
56,3,PA
57,3,PA
58,3,PA
59,3,PA
60,3,PA
61,3,PA
62,3,PA
63,3,PA
64,3,PA
65,3,PA
66,3,PA
67,3,PA
68,3,PA
69,3,PA
70,3,PA
71,3,Forest
72,3,Forest
73,3,Forest
74,3,Forest
75,3,Forest
76,3,Forest
77,3,Forest
78,3,Forest
79,3,Forest
80,3,Forest
81,3,Forest
82,3,Forest
83,3,Forest
84,3,Forest
85,3,Forest
86,3,Forest
87,3,Forest
88,3,Forest
89,3,Forest
90,3,Forest
91,3,Forest
92,3,Forest
93,3,Forest
94,3,Forest
95,3,Forest
96,3,Forest
97,3,Forest
98,3,Forest
99,3,Forest
100,3,Pasture
1,4,Pasture
2,4,Pasture
3,4,Pasture
4,4,Pasture
5,4,Pasture
6,4,Pasture
7,4,Pasture
8,4,Pasture
9,4,Pasture
10,4,Pasture
11,4,Pasture
12,4,Pasture
13,4,Pasture
14,4,Pasture
15,4,Pasture
16,4,Pasture
17,4,Pasture
18,4,Pasture
19,4,Pasture
20,4,Pasture
21,4,Pasture
22,4,Pasture
23,4,Pasture
24,4,Pasture
25,4,Pasture
26,4,Pasture
27,4,Pasture
28,4,Pasture
29,4,Pasture
30,4,Pasture
31,4,Pasture
32,4,Pasture
33,4,Pasture
34,4,Pasture
35,4,Pasture
36,4,Pasture
37,4,Pasture
38,4,Pasture
39,4,Pasture
40,4,Pasture
41,4,Pasture
42,4,Pasture
43,4,Pasture
44,4,Pasture
45,4,Pasture
46,4,Pasture
47,4,Pasture
48,4,Pasture
49,4,Pasture
50,4,PA
51,4,PA
52,4,PA
53,4,PA
54,4,PA
55,4,PA
56,4,PA
57,4,PA
58,4,PA
59,4,PA
60,4,PA
61,4,PA
62,4,PA
63,4,PA
64,4,PA
65,4,PA
66,4,PA
67,4,PA
68,4,PA
69,4,PA
70,4,PA
71,4,Forest
72,4,Forest
73,4,Forest
74,4,Forest
75,4,Forest
76,4,Forest
77,4,Forest
78,4,Forest
79,4,Forest
80,4,Forest
81,4,Forest
82,4,Forest
83,4,Forest
84,4,Forest
85,4,Forest
86,4,Forest
87,4,Forest
88,4,Forest
89,4,Forest
90,4,Forest
91,4,Forest
92,4,Forest
93,4,Forest
94,4,Forest
95,4,Forest
96,4,Forest
97,4,Forest
98,4,Forest
99,4,Forest
100,4,Pasture
1,5,Pasture
2,5,Pasture
3,5,Pasture
4,5,Pasture
5,5,Pasture
6,5,Pasture
7,5,Pasture
8,5,Pasture
9,5,Pasture
10,5,Pasture
11,5,Pasture
12,5,Pasture
13,5,Pasture
14,5,Pasture
15,5,Pasture
16,5,Pasture
17,5,Pasture
18,5,Pasture
19,5,Pasture
20,5,Pasture
21,5,Pasture
22,5,Pasture
23,5,Pasture
24,5,Pasture
25,5,Pasture
26,5,Pasture
27,5,Pasture
28,5,Pasture
29,5,Pasture
30,5,Pasture
31,5,Pasture
32,5,Pasture
33,5,Pasture
34,5,Pasture
35,5,Pasture
36,5,Pasture
37,5,Pasture
38,5,Pasture
39,5,Pasture
40,5,Pasture
41,5,Pasture
42,5,Pasture
43,5,Pasture
44,5,Pasture
45,5,Pasture
46,5,Pasture
47,5,Pasture
48,5,Pasture
49,5,Pasture
50,5,PA
51,5,PA
52,5,PA
53,5,PA
54,5,PA
55,5,PA
56,5,PA
57,5,PA
58,5,PA
59,5,PA
60,5,PA
61,5,PA
62,5,PA
63,5,PA
64,5,PA
65,5,PA
66,5,PA
67,5,PA
68,5,PA
69,5,PA
70,5,PA
71,5,Forest
72,5,Forest
73,5,Forest
74,5,Forest
75,5,Forest
76,5,Forest
77,5,Forest
78,5,Forest
79,5,Forest
80,5,Forest
81,5,Forest
82,5,Forest
83,5,Forest
84,5,Forest
85,5,Forest
86,5,Forest
87,5,Forest
88,5,Forest
89,5,Forest
90,5,Forest
91,5,Forest
92,5,Forest
93,5,Forest
94,5,Forest
95,5,Forest
96,5,Forest
97,5,Forest
98,5,Forest
99,5,Forest
100,5,Pasture
1,6,Pasture
2,6,Pasture
3,6,Pasture
4,6,Pasture
5,6,Pasture
6,6,Pasture
7,6,Pasture
8,6,Pasture
9,6,Pasture
10,6,Pasture
11,6,Pasture
12,6,Pasture
13,6,Pasture
14,6,Pasture
15,6,Pasture
16,6,Pasture
17,6,Pasture
18,6,Pasture
19,6,Pasture
20,6,Pasture
21,6,Pasture
22,6,Pasture
23,6,Pasture
24,6,Pasture
